id,area,center_lat,center_lon,company,name,polygon
AJB,1,66.157699018662,17.858281899684,Vattenfall Eldistribution AB,Arvidsjaurbygden,"[[20.23361939321, 65.662917068984], [20.217048557796, 65.565009710498], [20.04202225885, 65.508705681162], [20.044298622603, 65.356920042014], [19.89221539188, 65.381322665889], [19.802365040422, 65.322230946101], [19.582784125764, 65.3283120381], [19.60383530809, 65.277165937723], [19.678994081711, 65.2788143327], [19.686473879685, 65.267927156502], [19.715404903548, 65.267890722517], [19.703406936978, 65.259646408514], [19.775886535675, 65.215444389541], [19.606716057026, 65.19867150098], [19.460922119805, 65.159046379898], [19.476125947045, 65.123982384492], [19.390668240888, 65.14292210151], [19.331568966433, 65.190629449696], [19.259243609415, 65.205764429498], [19.237258618676, 65.224026749676], [19.250654642743, 65.238249849723], [19.272756648475, 65.240432381983], [19.259084898823, 65.253662215363], [19.096089933265, 65.305743296771], [19.031742342133, 65.305521028343], [19.01100148868, 65.33181561993], [18.935943109177, 65.345981614783], [18.873539902595, 65.371728311208], [18.833700361888, 65.37182012948], [18.808819859354, 65.38823029936], [18.749811699173, 65.405542125548], [18.749504200957, 65.423123142684], [18.717451864584, 65.437518531235], [18.628618778833, 65.433977548368], [18.578565399911, 65.440840284559], [18.526973100752, 65.449613551681], [18.503349831301, 65.47520790254], [18.426961629981, 65.496970321571], [18.340909265706, 65.49415997997], [18.194468473657, 65.55511854816], [18.179798050238, 65.569790479583], [18.135740406801, 65.562662327146], [18.07011626084, 65.59769477866], [17.851101141147, 65.623636266266], [17.7512540502, 65.583100999442], [17.6729126872, 65.657308599083], [17.220980648327, 65.851079832095], [17.209430690774, 65.894261166777], [17.080539890768, 65.9110483924], [16.773668681751, 66.03273404872], [16.586346031164, 66.045381884351], [16.512899153557, 66.057322180726], [16.214026536775, 66.144953951207], [15.765633139224, 66.292240852221], [15.453195158869, 66.343865434443], [15.37923985885, 66.487518341865], [15.627573846358, 66.595878236491], [16.045023095569, 66.917739868976], [16.207419688108, 66.987201883652], [16.385776826493, 67.046251465919], [16.409031094345, 67.20094985396], [16.722445826985, 67.087438373247], [17.071240022993, 66.995450139334], [17.417891514107, 66.846727208699], [17.6409120091, 66.726817121312], [18.144030946204, 66.648566280166], [18.692085438975, 66.513803689715], [18.783228174779, 66.392248078271], [18.738521555964, 66.301834322687], [19.032004283517, 66.175387134055], [19.11103980179, 66.13147528425], [19.586331490769, 66.055061884442], [19.667639892661, 65.93640348311], [20.108993867222, 65.848257133411], [20.170611057166, 65.68677556262], [20.23361939321, 65.662917068984]]"
BDN,1,66.059859561259,21.27964883697,Bodens Energi Nät AB,Boden,"[[21.939938351992, 66.332329969747], [21.879168927999, 66.054014260407], [21.831410577235, 66.016185052421], [21.890855963508, 65.95385386741], [21.967987545588, 65.944457512592], [22.041004918266, 65.92149513449], [22.046841888732, 65.830808000148], [21.889839429526, 65.801208927811], [21.889211471085, 65.782899190856], [21.928559416253, 65.752920334724], [21.784520829127, 65.711589953418], [21.792444451936, 65.691256231624], [21.750872702992, 65.687540054317], [21.611844602011, 65.767137693483], [21.472222788936, 65.715571068396], [21.403265101561, 65.748212484766], [21.328220243205, 65.86232188199], [21.006410782004, 65.82038017648], [20.595376770773, 65.951697356104], [20.443056522299, 65.953640662845], [20.36227104478, 66.014540974874], [20.732786604268, 66.325632808177], [20.732342371703, 66.338142659426], [20.788992445827, 66.330663739574], [20.772513848976, 66.357904888241], [20.997876735175, 66.392429864044], [21.273966949254, 66.27878722193], [21.35545508053, 66.209117189613], [21.668143342494, 66.349444172061], [22.032296550155, 66.368758688451], [21.939938351992, 66.332329969747]]"
JUJ,1,67.785701470552,21.014725660634,Jukkasjärvi Sockens Belysningsf,Jukkasjärvi,"[[21.313742720138, 67.945159478693], [21.311352910154, 67.835631259576], [21.357098909751, 67.82591082887], [21.414052517711, 67.777270755196], [21.469590100171, 67.756323499052], [21.477348867705, 67.72977184329], [21.581079106774, 67.696229300796], [21.769568913672, 67.675444955294], [21.784719944135, 67.450448175538], [21.467737072129, 67.476731011701], [21.138223642572, 67.609421696323], [21.018583025376, 67.639979425181], [20.857103754115, 67.660401192817], [20.776469211615, 67.628010525282], [20.731109913292, 67.642475890433], [20.776018978995, 67.670635471974], [20.321171857096, 67.763452060198], [20.360428758276, 67.84291977523], [20.389880244663, 67.844079074467], [20.394259216204, 67.858005380679], [20.247150484439, 67.8672230491], [20.255831589106, 68.028399811271], [21.315418364655, 68.020820935729], [21.313742720138, 67.945159478693]]"
KAB,1,65.973472010675,23.252347114864,Vattenfall Eldistribution AB,Kalixbygden,"[[23.567971051618, 66.285317994081], [23.608388915341, 66.155118918045], [23.684008946521, 66.099012982782], [23.852542837014, 66.081799623814], [24.045665821371, 65.872378767501], [24.02621754462, 65.845236154093], [23.826993700755, 65.814300994488], [23.817746421756, 65.795920012162], [23.849211700201, 65.792347948251], [23.876914075296, 65.750989602118], [23.812559824153, 65.736401493164], [23.808180449189, 65.715456375361], [23.759103381254, 65.684952293691], [23.51968008452, 65.707998210622], [23.07310884087, 65.635098158536], [23.031210376608, 65.676951429207], [23.025563959935, 65.728691808305], [22.813386957403, 65.788972791986], [22.803156798869, 65.813234517959], [22.841661474448, 65.85720207693], [22.829578053468, 65.873750619254], [22.843903542133, 65.87799931858], [22.76483189423, 65.959400825273], [22.80169087495, 65.99778352706], [22.73368324349, 65.997458996534], [22.541262942192, 65.956223771022], [22.489377412958, 65.990797932004], [22.426039292136, 66.064542957587], [22.338629639867, 66.136431170711], [22.533227711859, 66.239053317738], [22.770002224873, 66.180572454845], [22.872224820103, 66.178319039029], [22.90138833711, 66.152457448133], [22.955792103025, 66.136076111678], [22.974196739992, 66.167980181859], [23.117292559624, 66.233072170754], [23.238098742231, 66.225694280635], [23.275887425433, 66.297561518582], [23.567971051618, 66.285317994081]]"
KLK,1,67.850554177179,20.193529990479,LKAB Nät AB,Kiruna LKAB,"[[[20.203713997003, 67.866671566003], [20.20589541369, 67.881268886623], [20.188141664944, 67.878196016668], [20.172196543252, 67.890950925791], [20.248892770353, 67.900970438378], [20.255305495952, 67.872823596868], [20.201530376965, 67.860717350629], [20.21177016114, 67.852125628618], [20.233962757752, 67.856758020959], [20.258254586432, 67.852105008717], [20.250107486865, 67.841960692681], [20.219142046472, 67.845865262087], [20.223965860274, 67.804654421463], [20.157250560536, 67.807954110216], [20.1319127792, 67.827952932051], [20.136629732159, 67.86813162611], [20.203713997003, 67.866671566003]]]"
LUL,1,65.724355605545,22.226399772568,Luleå Energi Elnät AB,Luleå,"[[21.804438491438, 65.698436770667], [21.838449928695, 65.73766572122], [21.933061772905, 65.754154437001], [21.893706464957, 65.783966023913], [21.89433508403, 65.80245142509], [22.051355765423, 65.832050473805], [22.045527486099, 65.922751440134], [21.972498201633, 65.945716910778], [21.895352442453, 65.955113093946], [21.835914306011, 66.017455279708], [21.883674557415, 66.05528523024], [21.944499923342, 66.333641982444], [22.036872527438, 66.370066657557], [22.151120411994, 66.28445777005], [22.272109545449, 66.257727221417], [22.296880502305, 66.216030793806], [22.291972146503, 66.176855017806], [22.546602670817, 65.95755910578], [22.542427987466, 65.934979184294], [22.58029910487, 65.878718273052], [22.683924224292, 65.887882377709], [22.750229969239, 65.832484742632], [22.798978746677, 65.816454898505], [22.819139480957, 65.790235422109], [23.030820316326, 65.730525613138], [23.035836748811, 65.67828929446], [23.069475745556, 65.647146585876], [22.950255475162, 65.545452162039], [22.390398455739, 65.302015517784], [21.872464754192, 65.343740852752], [21.845296568106, 65.404991204158], [21.705019058764, 65.529094434947], [21.622156997175, 65.56367722282], [21.494466785936, 65.539610021141], [21.415466435451, 65.554762760943], [21.253304464556, 65.673723298593], [21.269226260154, 65.708811908083], [21.214565129852, 65.735710077143], [21.482953386204, 65.716369201292], [21.616263611846, 65.768381213492], [21.755324296284, 65.68877189336], [21.797454463901, 65.691879567169], [21.804438491438, 65.698436770667]]"
LAO,1,66.882711306444,18.732873640109,Vattenfall Eldistribution AB,Luleälven Övre,"[[16.746636151216, 67.901084985174], [16.782779103901, 67.899668279669], [16.862961091793, 67.880113002505], [17.091272836336, 67.802535876555], [17.155454858678, 67.805893383213], [17.252944721051, 67.773842421168], [17.300919595805, 67.73290181445], [17.365234590683, 67.71751832976], [17.43295288872, 67.714317301062], [17.452429444762, 67.67643481351], [17.628640366994, 67.642713425903], [17.749904853524, 67.634569429087], [17.82464653532, 67.621229258502], [17.901356595447, 67.586418164806], [17.970435238086, 67.585686923151], [18.129301252342, 67.566326608621], [18.258010827677, 67.498331363686], [18.310674465026, 67.478658784965], [18.339219075538, 67.480463209359], [18.389948105509, 67.441221112712], [18.487793197643, 67.40247119853], [18.574238284077, 67.41104367923], [18.631992018635, 67.397240300925], [18.702225140511, 67.405335925618], [18.793810696568, 67.383850602823], [18.87982620353, 67.351742999115], [18.926454739828, 67.308158979592], [18.98301490704, 67.304235931376], [19.086574089807, 67.280104957727], [19.315885712695, 67.153727556279], [19.513173163865, 67.144785269265], [19.663303538126, 67.094776403175], [19.784250042991, 67.043711703511], [19.831838402493, 66.974641268492], [20.290281586447, 66.829365352615], [20.632577534501, 66.735721809672], [20.96218987717, 66.622113339596], [21.482338227121, 66.334771171781], [21.641068192229, 66.32190772734], [21.355951656006, 66.208510186291], [21.209359091862, 66.306061222748], [20.999727408374, 66.394504003727], [20.766633725529, 66.355953058693], [20.795533246205, 66.330323385658], [20.739208151225, 66.334384258712], [20.363104064842, 66.013868763752], [20.180921253844, 66.031296235683], [19.932077215675, 66.006417911851], [20.023318756465, 65.96964669134], [20.108993610516, 65.848256922152], [19.667290104174, 65.936292145954], [19.586331157324, 66.055061751954], [19.11103954969, 66.131475134034], [19.03200394153, 66.175387019377], [18.73852112674, 66.301834246863], [18.783227721095, 66.392248069696], [18.692085099895, 66.513803563417], [18.144030731408, 66.648566213378], [17.640911744108, 66.726816971551], [17.417891163136, 66.846727001701], [17.071239708168, 66.995450099962], [16.722439009338, 67.08726582988], [16.409031060173, 67.200949663967], [16.08701747871, 67.434777637969], [16.158421342138, 67.519201961128], [16.408055537407, 67.533801896571], [16.496713280242, 67.594522701623], [16.556063377681, 67.647117155611], [16.732550664539, 67.905832335832], [16.746636151216, 67.901084985174]]"
MBT,1,67.19481785892,20.659970745827,LKAB Nät AB,Malmberget LKAB,"[[20.72037956161, 67.206787537203], [20.754674411787, 67.197440080672], [20.736249419784, 67.184642657154], [20.687214223636, 67.172967809045], [20.627225251229, 67.174173256728], [20.609428413135, 67.162590998199], [20.583453122366, 67.166404049472], [20.567382803575, 67.185872250366], [20.655512788494, 67.200250859318], [20.625059106432, 67.206591702178], [20.625931274802, 67.221015673836], [20.654070532461, 67.233578422439], [20.72037956161, 67.206787537203]]"
MAF,1,67.798841975653,20.376089856008,Vattenfall Eldistribution AB,Malmfälten,"[[[20.549531490658, 69.059458490213], [20.637580862213, 69.044279976333], [20.701015920053, 69.044292376191], [20.805998877167, 69.022481285404], [20.8361617242, 68.995554645602], [20.88078720035, 68.985567295613], [20.915648081919, 68.959881474962], [20.891809984254, 68.940608138618], [20.845687443914, 68.935980238796], [20.901950800066, 68.90073177398], [20.879682462741, 68.891610617002], [20.931789323893, 68.898926293487], [20.980451959659, 68.891394792171], [20.994591056301, 68.89792943376], [21.185315033874, 68.824511231761], [21.23536425652, 68.813967064494], [21.29760394562, 68.76269629156], [21.388810955953, 68.764739234639], [21.412974731752, 68.747879567673], [21.430545999415, 68.691128733175], [21.621656318114, 68.663038970905], [21.711363028922, 68.624911570674], [21.699117425462, 68.595059483755], [21.717340628973, 68.590199778543], [21.888616610438, 68.584987976208], [22.008867793058, 68.531270369164], [21.995650083318, 68.521081291505], [22.041684616132, 68.479453795493], [22.121291093059, 68.481803687256], [22.126761378354, 68.471679582105], [22.152650230444, 68.470189157564], [22.193638188259, 68.480152516093], [22.220445804899, 68.472430913415], [22.249350878437, 68.48149135662], [22.343898610626, 68.482848022624], [22.342161351877, 68.444526852339], [22.403997719586, 68.466442481642], [22.437077273845, 68.46470610902], [22.467582547622, 68.44166500338], [22.555803270051, 68.434221126547], [22.572548239359, 68.421378411457], [22.637430518529, 68.434762504313], [22.640223493033, 68.419485920067], [22.69143516442, 68.406475093704], [22.686733756726, 68.400014640408], [22.726746919443, 68.394427170255], [22.728375532425, 68.38621501678], [22.801825061518, 68.393179560311], [22.846596653565, 68.383080327797], [22.833957513733, 68.368563175115], [22.846029215922, 68.360774331209], [22.916704907011, 68.333326309958], [22.9735668503, 68.332095136224], [22.986430100262, 68.320628369648], [23.055621029835, 68.307707307983], [23.078738646946, 68.266478982182], [23.14415943738, 68.246477286049], [23.140939431285, 68.204143741429], [23.161360951877, 68.195787212283], [23.142496015502, 68.183345945922], [23.14104204988, 68.153740412644], [23.15562817856, 68.135200700234], [23.2484993733, 68.148445352423], [23.256550461616, 68.155308547936], [23.28837295575, 68.154021025116], [22.814183979886, 67.839144949459], [22.468458159781, 67.746714014462], [22.635366107317, 67.700557724699], [22.69485999288, 67.668443343169], [22.693573148283, 67.652648963055], [22.31555776186, 67.639609766974], [22.143993254255, 67.506474277852], [21.795797988332, 67.448765389041], [21.904616789665, 67.413793659298], [21.92025520456, 67.396584634511], [21.886087293054, 67.386606852751], [21.96250599654, 67.355823580115], [21.846871049592, 67.271141249759], [22.042993824905, 67.073508168519], [21.98076788623, 67.060097156982], [22.198817523853, 66.919939039135], [22.164998892165, 66.879963659172], [22.137886993902, 66.887605588347], [22.117492606502, 66.876747862439], [22.151307636211, 66.86228754343], [22.041172854391, 66.729422626117], [21.970472680707, 66.669683853444], [21.8182161864, 66.592472126733], [21.494986342655, 66.480512814122], [21.482338143111, 66.334771002899], [20.962189562793, 66.622113210568], [20.632577244315, 66.735721671806], [20.290281305283, 66.829365211579], [19.831838057697, 66.974641146884], [19.784249634896, 67.043711615604], [19.663303209341, 67.094776277587], [19.513172996096, 67.14478509814], [19.315885429653, 67.153727405446], [19.086573756396, 67.280104829165], [18.983014742103, 67.304235762127], [18.926454410556, 67.308158836162], [18.879825814427, 67.351742897357], [18.793810391127, 67.383850467036], [18.702225103985, 67.405335731448], [18.631991856408, 67.397240120859], [18.574238288707, 67.411043493813], [18.48779293896, 67.402471047791], [18.389947738178, 67.441221000984], [18.339218731963, 67.480463069883], [18.310674137734, 67.478658637859], [18.258010469982, 67.498331247221], [18.129300967212, 67.566326466091], [17.970435216862, 67.585686740767], [17.901356367547, 67.586417998702], [17.824646318092, 67.62122909922], [17.749904734169, 67.634569253997], [17.628640184297, 67.642713259385], [17.452429141933, 67.676434666724], [17.432952463973, 67.71431716948], [17.365234428761, 67.717518157792], [17.300919267297, 67.732901674577], [17.252944356298, 67.773842305003], [17.155454621913, 67.805893223413], [17.091272603981, 67.802535687783], [16.862960810865, 67.880112853639], [16.732550617752, 67.905832268875], [16.737849721007, 67.913994755197], [17.172980494014, 68.050919665689], [17.2786140352, 68.116777415304], [17.655003559972, 68.041304180839], [17.899374473183, 67.969011719443], [18.152400409587, 68.199331940811], [18.101813002311, 68.392557683524], [18.125524772433, 68.535520789219], [18.406357386925, 68.581235786217], [18.621418439076, 68.506474429858], [18.986509691621, 68.516561244766], [19.923124286411, 68.355349717086], [20.228530369272, 68.491081445303], [20.023264834198, 68.532323677943], [19.937617883203, 68.558522713631], [20.053883218347, 68.591166477708], [20.202867678075, 68.665280017268], [20.333966585942, 68.801145506084], [20.306776120448, 68.925508691084], [20.060612925269, 69.045484270141], [20.549531490658, 69.059458490213]], [[20.261955776598, 68.010763577866], [20.172196530953, 67.89095090846], [20.188141664944, 67.878196016668], [20.20589541369, 67.881268886623], [20.203713997003, 67.866671566003], [20.136379807531, 67.867858877934], [20.1319127792, 67.827952932051], [20.157275657548, 67.807639108256], [20.22719549436, 67.804557907206], [20.219521490191, 67.84588592607], [20.250107486865, 67.841960692681], [20.258254588826, 67.852104991689], [20.23396271319, 67.856758020958], [20.214853508797, 67.852101438218], [20.203323345724, 67.861042537076], [20.231652150952, 67.870257775083], [20.256670284415, 67.872536044776], [20.26929000287, 67.856746170729], [20.456596250652, 67.897500131061], [20.496910046631, 67.877261964992], [20.48403037605, 67.853502392884], [20.462992090765, 67.843413126307], [20.37849970648, 67.847782312735], [20.339511002333, 67.756592905654], [20.790023940905, 67.674860091916], [20.745747670006, 67.639994856099], [20.798016569499, 67.62281036857], [20.864281491446, 67.663125666262], [21.575978017088, 67.460778904824], [21.790137625237, 67.449522545973], [21.711758273312, 67.651326040539], [21.737186561702, 67.659848227086], [21.722479256989, 67.678483169004], [21.634544340322, 67.692616465518], [21.591022208335, 67.690697835902], [21.501971327527, 67.714364511999], [21.46488721635, 67.744599598732], [21.467460981759, 67.757394438655], [21.422703609488, 67.769251158036], [21.357678968692, 67.825983185132], [21.311454358364, 67.835544492085], [21.306868445379, 68.029370190367], [20.261955776598, 68.010763577866]], [[20.583090036579, 67.166246842685], [20.612275819165, 67.162160621508], [20.651083044381, 67.177677060997], [20.689180958245, 67.173422831201], [20.735576054253, 67.186315250864], [20.727236683518, 67.196118828807], [20.754052328031, 67.198249559905], [20.656710486127, 67.232940815437], [20.622746284425, 67.20944897798], [20.666576267699, 67.201771404309], [20.565704103563, 67.187526478659], [20.583090036579, 67.166246842685]]]"
PIB,1,65.368328958133,21.098810561614,"Pite Energi, AB",Pitebygden,"[[21.169248712198, 65.55898244858], [21.187302518237, 65.558192498488], [21.176257479733, 65.565937810561], [21.188447452911, 65.569025275722], [21.143850361918, 65.600384475339], [21.119478601705, 65.65604992459], [21.086489387046, 65.680283711261], [21.219937880866, 65.729606008534], [21.26456247871, 65.707668808481], [21.248649722393, 65.672584057401], [21.410805250543, 65.55364327447], [21.489794600461, 65.538494863316], [21.617458936122, 65.562563032868], [21.70031335691, 65.527987015303], [21.840589370313, 65.403903420685], [21.86776382844, 65.342661543295], [21.989035255754, 65.33306618936], [21.957304665097, 65.082658428158], [21.778330997691, 65.017922420359], [21.615095076264, 65.064129821916], [21.522499082416, 65.071775126572], [21.318469587717, 65.136043980393], [21.265906510015, 65.163498446164], [21.230034901478, 65.16889906355], [21.128366819632, 65.219151673483], [20.986938396763, 65.215625681861], [20.733899020625, 65.245254011937], [20.71861458946, 65.225765776601], [20.001649887158, 65.363618513809], [20.046681421629, 65.510472238146], [20.216863483805, 65.565216401193], [20.205632962496, 65.59417264042], [20.287786476676, 65.603524520346], [20.291890450555, 65.634409860048], [20.321521876295, 65.603988885365], [20.392928113858, 65.592586189998], [20.458452699804, 65.611790581631], [20.489872752119, 65.600242366418], [20.524719686281, 65.627980710931], [20.638476664007, 65.584028378886], [20.703611647916, 65.57651081839], [20.692316922018, 65.570297321487], [20.739644337049, 65.554106497716], [20.757396698119, 65.55992900179], [20.764515820438, 65.553259301895], [20.882995305064, 65.535558504157], [20.942395392279, 65.50947603871], [20.968297266334, 65.531802234436], [20.995145986136, 65.510006114903], [21.040982201215, 65.520876815912], [21.039409123726, 65.530262634762], [21.049224970319, 65.522415558888], [21.077069400668, 65.536168553966], [21.095211647501, 65.530544889689], [21.121230649755, 65.536215055623], [21.123208128074, 65.550588977379], [21.169248712198, 65.55898244858]]"
